index,period,type,attendances,breaches,performance,consent
1531,2016-11-01,other,6153,96,0.984398,True
1876,2016-10-01,other,6115,68,0.98888,True
2564,2016-08-01,other,5435,72,0.986753,True
3601,2016-05-01,other,6318,90,0.985755,True
4658,2018-02-01,2,1628,14,0.9914,True
6461,2017-09-01,2,1632,25,0.984681,True
8530,2019-03-01,1,21059,5675,0.730519,True
8531,2019-03-01,2,1940,46,0.976289,True
8889,2019-02-01,2,1620,48,0.97037,True
9607,2018-12-01,1,20073,5721,0.71499,True
11425,2018-07-01,1,18890,4861,0.742668,True
