index,period,type,attendances,breaches,performance
142,2017-03-01,1,12697,3227,0.7458454753091281
143,2017-03-01,2,1850,19,0.9897297297297297
144,2017-03-01,other,6073,69,0.9886382348098139
491,2017-02-01,1,10612,2793,0.7368073878627968
492,2017-02-01,2,1606,26,0.9838107098381071
493,2017-02-01,other,5349,34,0.9936436717143391
837,2017-01-01,1,11691,4146,0.6453682319733127
838,2017-01-01,2,1711,28,0.983635300993571
839,2017-01-01,other,5928,68,0.9885290148448043
1183,2016-12-01,1,12221,4881,0.6006055150969642
1184,2016-12-01,2,1569,13,0.9917144678138942
1185,2016-12-01,other,6538,79,0.9879167941266442
1529,2016-11-01,1,12570,4447,0.6462211614956246
1530,2016-11-01,2,1794,48,0.9732441471571907
1531,2016-11-01,other,6153,96,0.984397854705022
1874,2016-10-01,1,12514,4333,0.6537478024612434
1875,2016-10-01,2,1841,38,0.97935904399782725
1876,2016-10-01,other,6115,68,0.9888798037612428
2218,2016-09-01,1,12668,3818,0.698610672560783
2219,2016-09-01,2,1816,31,0.9829295154185022
2220,2016-09-01,other,5069,83,0.9836259617281515
2562,2016-08-01,1,12098,3716,0.6928417920317408
2563,2016-08-01,2,1844,71,0.9614967462039046
2564,2016-08-01,other,5435,72,0.986752529898804
2908,2016-07-01,1,12275,4450,0.6374745417515275
2909,2016-07-01,2,1925,138,0.9283116883116883
2910,2016-07-01,other,5949,64,0.9892418893931754
3253,2016-06-01,1,12094,3613,0.7012568215644122
3254,2016-06-01,2,1802,85,0.9528301886792453
3255,2016-06-01,other,5566,73,0.9868846568451312
3599,2016-05-01,1,12817,4080,0.6816727783412655
3600,2016-05-01,2,1848,57,0.9691558441558441
3601,2016-05-01,other,6318,90,0.9857549857549858
3945,2016-04-01,1,11449,3406,0.7025067691501441
3946,2016-04-01,2,1895,122,0.9356200527704486
3947,2016-04-01,other,5580,21,0.9962365591397849
4285,2018-03-01,1,17906,5934,0.6686027030045795
4286,2018-03-01,2,1760,28,0.9840909090909091
4657,2018-02-01,1,16531,5165,0.6875567116326902
4658,2018-02-01,2,1628,14,0.9914004914004914
5029,2018-01-01,1,18173,4970,0.7265173609200462
5030,2018-01-01,2,1735,16,0.9907780979827089
5393,2017-12-01,1,18473,5705,0.6911708980674498
5394,2017-12-01,2,1591,10,0.9937146448774355
5753,2017-11-01,1,18807,4180,0.7777423299835168
5754,2017-11-01,2,1769,13,0.9926512153759186
6109,2017-10-01,1,18587,3526,0.8102975197718836
6110,2017-10-01,2,1824,9,0.9950657894736842
6460,2017-09-01,1,17762,3083,0.8264272041436775
6461,2017-09-01,2,1632,25,0.9846813725490197
6808,2017-08-01,1,16687,3051,0.8171630610655001
6809,2017-08-01,2,1613,18,0.9888406695598264
7153,2017-07-01,1,17383,3823,0.780072484611402
7154,2017-07-01,2,1707,40,0.9765670767428236
7498,2017-06-01,1,17603,4302,0.7556098392319491
7499,2017-06-01,2,1706,23,0.9865181711606096
7843,2017-05-01,1,18691,4813,0.7424963886362421
7844,2017-05-01,2,1749,40,0.9771297884505432
8187,2017-04-01,1,13254,3495,0.7363060208239023
8188,2017-04-01,2,1662,12,0.9927797833935018
8189,2017-04-01,other,4623,200,0.9567380488860048
8530,2019-03-01,1,21059,5675,0.7305190179970559
8531,2019-03-01,2,1940,46,0.9762886597938144
8888,2019-02-01,1,18472,4762,0.7422044174967519
8889,2019-02-01,2,1620,48,0.9703703703703703
9247,2019-01-01,1,19990,6319,0.6838919459729864
9248,2019-01-01,2,1692,28,0.983451536643026
9607,2018-12-01,1,20073,5721,0.7149902854580781
9608,2018-12-01,2,1551,16,0.9896840747904577
9969,2018-11-01,1,20405,6016,0.7051703013967165
9970,2018-11-01,2,1771,62,0.9649915302089215
10332,2018-10-01,1,19610,4602,0.7653238143804182
10333,2018-10-01,2,1884,53,0.971868365180467
10696,2018-09-01,1,18696,4151,0.7779738981600343
10697,2018-09-01,2,1704,29,0.982981220657277
11060,2018-08-01,1,18073,4682,0.7409395230454269
11061,2018-08-01,2,1812,26,0.9856512141280354
11425,2018-07-01,1,18890,4861,0.7426680783483324
11426,2018-07-01,2,1866,48,0.9742765273311897
11796,2018-06-01,1,18353,3613,0.8031384514793222
11797,2018-06-01,2,1880,30,0.9840425531914894
12167,2018-05-01,1,18988,2436,0.8717084474404887
12168,2018-05-01,2,1763,22,0.9875212705615428
12538,2018-04-01,1,17840,4615,0.741311659192825
12539,2018-04-01,2,1678,46,0.9725864123957092
